#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDCA2	MYBL2	9606.ENSP00000328228	9606.ENSP00000217026	0	0	0	0	0.367	0	0	0.259	0.511
CDCA2	NCAPH	9606.ENSP00000328228	9606.ENSP00000240423	0	0	0	0	0.666	0	0	0.339	0.770
CDCA2	DLGAP5	9606.ENSP00000328228	9606.ENSP00000247191	0	0	0	0	0.817	0	0	0.465	0.898
CDCA2	E2F8	9606.ENSP00000328228	9606.ENSP00000250024	0	0	0	0	0.388	0	0	0.284	0.543
CDCA2	NCAPG	9606.ENSP00000328228	9606.ENSP00000251496	0	0	0	0	0.794	0	0	0.350	0.860
CDCA2	GINS2	9606.ENSP00000328228	9606.ENSP00000253462	0	0	0	0	0.318	0	0	0.325	0.520
CDCA2	CCNB1	9606.ENSP00000328228	9606.ENSP00000256442	0	0	0	0	0.584	0	0	0.453	0.763
CDCA2	TROAP	9606.ENSP00000328228	9606.ENSP00000257909	0	0	0.285	0	0.511	0	0	0.223	0.705
CDCA2	ESPL1	9606.ENSP00000328228	9606.ENSP00000257934	0	0	0	0	0.509	0	0	0.247	0.615
CDCA2	KIF11	9606.ENSP00000328228	9606.ENSP00000260731	0	0	0	0	0.853	0	0	0.372	0.904
CDCA2	NDC80	9606.ENSP00000328228	9606.ENSP00000261597	0	0	0	0	0.534	0	0	0.314	0.667
CDCA2	SGO1	9606.ENSP00000328228	9606.ENSP00000263753	0	0	0.265	0	0.534	0	0	0.329	0.750
CDCA2	DEPDC1B	9606.ENSP00000328228	9606.ENSP00000265036	0	0	0	0	0.674	0	0	0.186	0.723
CDCA2	ANLN	9606.ENSP00000328228	9606.ENSP00000265748	0	0	0	0	0.465	0	0	0.418	0.675
CDCA2	TICRR	9606.ENSP00000328228	9606.ENSP00000268138	0	0	0	0	0.537	0	0	0.148	0.589
CDCA2	NUF2	9606.ENSP00000328228	9606.ENSP00000271452	0	0	0	0	0.743	0	0	0.576	0.886
CDCA2	CDCA5	9606.ENSP00000328228	9606.ENSP00000275517	0	0	0	0	0.689	0	0	0.591	0.867
CDCA2	BUB1B	9606.ENSP00000328228	9606.ENSP00000287598	0	0	0.271	0	0.681	0	0	0.671	0.916
CDCA2	CCNB2	9606.ENSP00000328228	9606.ENSP00000288207	0	0	0	0	0.602	0	0	0.500	0.793
CDCA2	MELK	9606.ENSP00000328228	9606.ENSP00000298048	0	0	0	0	0.566	0	0	0.251	0.662
CDCA2	PLK1	9606.ENSP00000328228	9606.ENSP00000300093	0	0	0	0	0.558	0	0	0.399	0.723
CDCA2	TPX2	9606.ENSP00000328228	9606.ENSP00000300403	0	0	0	0	0.738	0	0	0.305	0.810
CDCA2	BIRC5	9606.ENSP00000328228	9606.ENSP00000301633	0	0	0	0	0.518	0	0	0.321	0.658
CDCA2	CKAP2L	9606.ENSP00000328228	9606.ENSP00000305204	0	0	0.295	0	0.779	0	0	0.244	0.871
CDCA2	AURKB	9606.ENSP00000328228	9606.ENSP00000313950	0	0	0	0	0.456	0	0	0.571	0.756
CDCA2	SKA3	9606.ENSP00000328228	9606.ENSP00000319417	0	0	0	0	0.821	0	0	0.329	0.874
CDCA2	CDC25C	9606.ENSP00000328228	9606.ENSP00000321656	0	0	0	0	0.554	0	0	0.382	0.713
CDCA2	SPAG5	9606.ENSP00000328228	9606.ENSP00000323300	0	0	0	0	0.481	0	0	0.322	0.633
CDCA2	KIF15	9606.ENSP00000328228	9606.ENSP00000324020	0	0	0	0	0.659	0	0	0.250	0.733
CDCA2	UBE2T	9606.ENSP00000328228	9606.ENSP00000494957	0	0	0	0	0.462	0	0	0.056	0.470
CDCA2	UHRF1	9606.ENSP00000328228	9606.ENSP00000479617	0	0	0	0	0.384	0	0	0.233	0.508
CDCA2	RRM2	9606.ENSP00000328228	9606.ENSP00000353770	0	0	0	0	0.420	0	0	0.194	0.513
CDCA2	ERCC6L	9606.ENSP00000328228	9606.ENSP00000334675	0	0	0	0	0.462	0	0	0.134	0.515
CDCA2	FOXM1	9606.ENSP00000328228	9606.ENSP00000342307	0	0	0	0	0.490	0	0	0.220	0.585
CDCA2	RAD54L	9606.ENSP00000328228	9606.ENSP00000361043	0	0	0	0	0.512	0	0	0.185	0.586
CDCA2	EXO1	9606.ENSP00000328228	9606.ENSP00000355506	0	0	0	0	0.503	0	0	0.224	0.598
CDCA2	MKI67	9606.ENSP00000328228	9606.ENSP00000357643	0	0	0	0.548	0.570	0	0	0.103	0.598
CDCA2	KIF18B	9606.ENSP00000328228	9606.ENSP00000465992	0	0	0	0	0.428	0	0	0.327	0.599
CDCA2	MCM10	9606.ENSP00000328228	9606.ENSP00000418268	0	0	0	0	0.451	0	0	0.317	0.610
CDCA2	CHEK1	9606.ENSP00000328228	9606.ENSP00000391090	0	0	0	0	0.548	0	0	0.182	0.615
CDCA2	ZWINT	9606.ENSP00000328228	9606.ENSP00000363055	0	0	0	0	0.449	0	0	0.330	0.615
CDCA2	CDC45	9606.ENSP00000328228	9606.ENSP00000405726	0	0	0	0	0.447	0	0	0.395	0.652
CDCA2	NEK2	9606.ENSP00000328228	9606.ENSP00000355966	0	0	0	0	0.485	0	0	0.399	0.678
CDCA2	UBE2C	9606.ENSP00000328228	9606.ENSP00000348838	0	0	0	0	0.519	0	0	0.364	0.681
CDCA2	CEP55	9606.ENSP00000328228	9606.ENSP00000360540	0	0	0	0	0.604	0	0	0.298	0.710
CDCA2	HJURP	9606.ENSP00000328228	9606.ENSP00000414109	0	0	0	0	0.655	0	0	0.305	0.750
CDCA2	KIF14	9606.ENSP00000328228	9606.ENSP00000356319	0	0	0	0	0.663	0	0	0.300	0.754
CDCA2	CCNA2	9606.ENSP00000328228	9606.ENSP00000481380	0	0	0	0	0.676	0	0	0.343	0.778
CDCA2	TOP2A	9606.ENSP00000328228	9606.ENSP00000411532	0	0	0	0	0.707	0	0	0.310	0.789
CDCA2	CENPF	9606.ENSP00000328228	9606.ENSP00000355922	0	0	0	0	0.653	0	0	0.434	0.795
CDCA2	GTSE1	9606.ENSP00000328228	9606.ENSP00000415430	0	0	0	0	0.628	0	0	0.496	0.804
CDCA2	DEPDC1	9606.ENSP00000328228	9606.ENSP00000412292	0	0	0	0	0.759	0	0	0.272	0.817
CDCA2	CENPA	9606.ENSP00000328228	9606.ENSP00000336868	0	0	0	0	0.695	0.096	0	0.400	0.820
CDCA2	CDC20	9606.ENSP00000328228	9606.ENSP00000361540	0	0	0	0	0.617	0	0	0.556	0.822
CDCA2	ASPM	9606.ENSP00000328228	9606.ENSP00000356379	0	0	0	0	0.777	0	0	0.295	0.836
CDCA2	HMMR	9606.ENSP00000328228	9606.ENSP00000377492	0	0	0	0	0.783	0	0	0.281	0.837
CDCA2	PBK	9606.ENSP00000328228	9606.ENSP00000428489	0	0	0	0	0.804	0	0	0.317	0.860
CDCA2	TTK	9606.ENSP00000328228	9606.ENSP00000358813	0	0	0	0	0.834	0	0	0.260	0.872
CDCA2	KIF2C	9606.ENSP00000328228	9606.ENSP00000361298	0	0	0	0	0.779	0	0	0.501	0.885
CDCA2	CDCA8	9606.ENSP00000328228	9606.ENSP00000362146	0	0	0	0	0.710	0	0	0.633	0.889
CDCA2	KIF20A	9606.ENSP00000328228	9606.ENSP00000378356	0	0	0	0	0.801	0	0	0.512	0.899
CDCA2	CDCA3	9606.ENSP00000328228	9606.ENSP00000442068	0	0	0	0	0.693	0	0	0.721	0.910
CDCA2	KIF4A	9606.ENSP00000328228	9606.ENSP00000363524	0	0	0	0	0.809	0	0	0.664	0.933
CDCA3	CDC6	9606.ENSP00000442068	9606.ENSP00000209728	0	0	0	0	0.369	0	0	0.374	0.588
CDCA3	MYBL2	9606.ENSP00000442068	9606.ENSP00000217026	0	0	0	0	0.448	0	0	0.280	0.586
CDCA3	ORC6	9606.ENSP00000442068	9606.ENSP00000219097	0	0	0	0	0.176	0	0	0.377	0.465
CDCA3	NCAPH	9606.ENSP00000442068	9606.ENSP00000240423	0	0	0	0	0.637	0	0	0.318	0.742
CDCA3	DLGAP5	9606.ENSP00000442068	9606.ENSP00000247191	0	0	0	0	0.902	0	0	0.521	0.951
CDCA3	E2F8	9606.ENSP00000442068	9606.ENSP00000250024	0	0	0	0	0.505	0	0	0.324	0.651
CDCA3	NCAPG	9606.ENSP00000442068	9606.ENSP00000251496	0	0	0	0	0.738	0	0	0.305	0.810
CDCA3	GINS2	9606.ENSP00000442068	9606.ENSP00000253462	0	0	0	0	0.398	0	0	0.308	0.566
CDCA3	CCNB1	9606.ENSP00000442068	9606.ENSP00000256442	0	0	0	0	0.890	0	0	0.446	0.936
CDCA3	TROAP	9606.ENSP00000442068	9606.ENSP00000257909	0	0	0	0	0.806	0	0	0.293	0.857
CDCA3	ESPL1	9606.ENSP00000442068	9606.ENSP00000257934	0	0	0	0	0.667	0	0	0.189	0.719
CDCA3	KIF11	9606.ENSP00000442068	9606.ENSP00000260731	0	0	0	0	0.853	0	0	0.490	0.922
CDCA3	NDC80	9606.ENSP00000442068	9606.ENSP00000261597	0	0	0	0	0.809	0	0	0.107	0.822
CDCA3	PKMYT1	9606.ENSP00000442068	9606.ENSP00000262300	0	0	0	0	0.356	0	0	0.233	0.485
CDCA3	SGO1	9606.ENSP00000442068	9606.ENSP00000263753	0	0	0	0	0.636	0	0	0.254	0.717
CDCA3	NEIL3	9606.ENSP00000442068	9606.ENSP00000264596	0	0	0	0	0.380	0	0	0.331	0.568
CDCA3	DEPDC1B	9606.ENSP00000442068	9606.ENSP00000265036	0	0	0	0	0.523	0	0	0.127	0.566
CDCA3	ANLN	9606.ENSP00000442068	9606.ENSP00000265748	0	0	0	0	0.490	0	0	0.341	0.649
CDCA3	TICRR	9606.ENSP00000442068	9606.ENSP00000268138	0	0	0	0	0.430	0	0	0.108	0.469
CDCA3	NUF2	9606.ENSP00000442068	9606.ENSP00000271452	0	0	0	0	0.652	0	0	0.570	0.844
CDCA3	CDCA5	9606.ENSP00000442068	9606.ENSP00000275517	0	0	0	0	0.759	0	0	0.580	0.894
CDCA3	BUB1B	9606.ENSP00000442068	9606.ENSP00000287598	0	0	0	0	0.805	0	0	0.437	0.886
CDCA3	CCNB2	9606.ENSP00000442068	9606.ENSP00000288207	0	0	0	0	0.827	0	0	0.518	0.913
CDCA3	MELK	9606.ENSP00000442068	9606.ENSP00000298048	0	0	0	0	0.764	0	0	0.483	0.872
CDCA3	PLK1	9606.ENSP00000442068	9606.ENSP00000300093	0	0	0	0	0.847	0	0	0.398	0.904
CDCA3	TPX2	9606.ENSP00000442068	9606.ENSP00000300403	0	0	0	0	0.835	0	0	0.308	0.881
CDCA3	BIRC5	9606.ENSP00000442068	9606.ENSP00000301633	0	0	0	0	0.929	0	0	0.465	0.960
CDCA3	CKAP2L	9606.ENSP00000442068	9606.ENSP00000305204	0	0	0	0	0.762	0	0	0.196	0.800
CDCA3	AURKB	9606.ENSP00000442068	9606.ENSP00000313950	0	0	0	0	0.835	0	0	0.612	0.933
CDCA3	SKA3	9606.ENSP00000442068	9606.ENSP00000319417	0	0	0	0	0.499	0	0	0.208	0.586
CDCA3	CDC25C	9606.ENSP00000442068	9606.ENSP00000321656	0	0	0	0	0.520	0	0	0.324	0.662
CDCA3	SPAG5	9606.ENSP00000442068	9606.ENSP00000323300	0	0	0	0	0.840	0	0	0.264	0.877
CDCA3	KIF15	9606.ENSP00000442068	9606.ENSP00000324020	0	0	0	0	0.718	0	0	0.278	0.788
CDCA3	CDCA2	9606.ENSP00000442068	9606.ENSP00000328228	0	0	0	0	0.693	0	0	0.721	0.910
CDCA3	ERCC6L	9606.ENSP00000442068	9606.ENSP00000334675	0	0	0	0	0.480	0	0	0.145	0.537
CDCA3	CENPA	9606.ENSP00000442068	9606.ENSP00000336868	0	0	0	0	0.834	0	0	0.365	0.890
CDCA3	FOXM1	9606.ENSP00000442068	9606.ENSP00000342307	0	0	0	0	0.829	0	0	0.357	0.885
CDCA3	UBE2C	9606.ENSP00000442068	9606.ENSP00000348838	0	0	0	0	0.937	0	0	0.433	0.962
CDCA3	RRM2	9606.ENSP00000442068	9606.ENSP00000353770	0	0	0	0	0.605	0	0	0.414	0.759
CDCA3	EXO1	9606.ENSP00000442068	9606.ENSP00000355506	0	0	0	0	0.580	0	0	0.247	0.671
CDCA3	CENPF	9606.ENSP00000442068	9606.ENSP00000355922	0	0	0	0	0.575	0	0	0.506	0.781
CDCA3	NEK2	9606.ENSP00000442068	9606.ENSP00000355966	0	0	0	0	0.810	0	0	0.554	0.911
CDCA3	KIF14	9606.ENSP00000442068	9606.ENSP00000356319	0	0	0	0	0.509	0	0	0.305	0.644
CDCA3	ASPM	9606.ENSP00000442068	9606.ENSP00000356379	0	0	0	0	0.773	0	0	0.425	0.864
CDCA3	MKI67	9606.ENSP00000442068	9606.ENSP00000357643	0	0	0	0	0.652	0	0	0.325	0.755
CDCA3	TTK	9606.ENSP00000442068	9606.ENSP00000358813	0	0	0	0	0.813	0	0	0.271	0.858
CDCA3	CEP55	9606.ENSP00000442068	9606.ENSP00000360540	0	0	0	0	0.711	0	0	0.588	0.876
CDCA3	STIL	9606.ENSP00000442068	9606.ENSP00000360944	0	0	0	0	0.352	0	0	0.298	0.526
CDCA3	RAD54L	9606.ENSP00000442068	9606.ENSP00000361043	0	0	0	0	0.515	0	0	0.403	0.698
CDCA3	KIF2C	9606.ENSP00000442068	9606.ENSP00000361298	0	0	0	0	0.852	0	0	0.546	0.930
CDCA3	CDC20	9606.ENSP00000442068	9606.ENSP00000361540	0	0	0	0	0.950	0	0	0.643	0.981
CDCA3	CDCA8	9606.ENSP00000442068	9606.ENSP00000362146	0	0	0	0	0.930	0	0	0.665	0.975
CDCA3	ZWINT	9606.ENSP00000442068	9606.ENSP00000363055	0	0	0	0	0.405	0	0	0.272	0.548
CDCA3	KIF4A	9606.ENSP00000442068	9606.ENSP00000363524	0	0	0	0	0.818	0	0	0.617	0.927
CDCA3	HMMR	9606.ENSP00000442068	9606.ENSP00000377492	0	0	0	0	0.789	0	0	0.371	0.861
CDCA3	KIF20A	9606.ENSP00000442068	9606.ENSP00000378356	0	0	0	0	0.860	0	0	0.522	0.930
CDCA3	CHEK1	9606.ENSP00000442068	9606.ENSP00000391090	0	0	0	0	0.431	0	0	0.446	0.671
CDCA3	CDC45	9606.ENSP00000442068	9606.ENSP00000405726	0	0	0	0	0.624	0	0	0.400	0.765
CDCA3	TOP2A	9606.ENSP00000442068	9606.ENSP00000411532	0	0	0	0	0.728	0	0	0.564	0.876
CDCA3	DEPDC1	9606.ENSP00000442068	9606.ENSP00000412292	0	0	0	0	0.548	0	0	0.326	0.683
CDCA3	HJURP	9606.ENSP00000442068	9606.ENSP00000414109	0	0	0	0	0.807	0	0	0.191	0.837
CDCA3	GTSE1	9606.ENSP00000442068	9606.ENSP00000415430	0	0	0	0	0.773	0	0	0.224	0.816
CDCA3	MCM10	9606.ENSP00000442068	9606.ENSP00000418268	0	0	0	0	0.518	0	0	0.376	0.686
CDCA3	PBK	9606.ENSP00000442068	9606.ENSP00000428489	0	0	0	0	0.911	0	0	0.419	0.946
CDCA3	UHRF1	9606.ENSP00000442068	9606.ENSP00000479617	0	0	0	0	0.448	0	0	0.261	0.575
CDCA3	UBE2T	9606.ENSP00000442068	9606.ENSP00000494957	0	0	0	0	0.549	0	0	0.110	0.581
CDCA3	KIF18B	9606.ENSP00000442068	9606.ENSP00000465992	0	0	0	0	0.602	0	0	0.432	0.764
CDCA3	CCNA2	9606.ENSP00000442068	9606.ENSP00000481380	0	0	0	0	0.898	0	0	0.435	0.940
CDCA5	CDC6	9606.ENSP00000275517	9606.ENSP00000209728	0	0	0	0	0.541	0	0	0.390	0.708
CDCA5	MYBL2	9606.ENSP00000275517	9606.ENSP00000217026	0	0	0	0	0.528	0	0	0.245	0.629
CDCA5	ORC6	9606.ENSP00000275517	9606.ENSP00000219097	0	0	0	0	0.262	0	0	0.220	0.400
CDCA5	NCAPH	9606.ENSP00000275517	9606.ENSP00000240423	0	0	0	0	0.724	0	0	0.349	0.812
CDCA5	DLGAP5	9606.ENSP00000275517	9606.ENSP00000247191	0	0	0	0	0.782	0	0	0.652	0.921
CDCA5	E2F8	9606.ENSP00000275517	9606.ENSP00000250024	0	0	0	0	0.367	0	0	0.200	0.472
CDCA5	NCAPG	9606.ENSP00000275517	9606.ENSP00000251496	0	0	0	0	0.792	0	0	0.478	0.886
CDCA5	GINS2	9606.ENSP00000275517	9606.ENSP00000253462	0	0	0	0	0.532	0	0	0.351	0.683
CDCA5	CCNB1	9606.ENSP00000275517	9606.ENSP00000256442	0	0	0	0	0.639	0	0.400	0.445	0.869
CDCA5	TROAP	9606.ENSP00000275517	9606.ENSP00000257909	0	0	0	0	0.521	0	0	0.265	0.633
CDCA5	ESPL1	9606.ENSP00000275517	9606.ENSP00000257934	0	0	0	0	0.552	0	0.500	0.714	0.930
CDCA5	KIF11	9606.ENSP00000275517	9606.ENSP00000260731	0	0	0	0	0.764	0	0	0.366	0.844
CDCA5	NDC80	9606.ENSP00000275517	9606.ENSP00000261597	0	0	0	0	0.563	0	0	0.306	0.684
CDCA5	PKMYT1	9606.ENSP00000275517	9606.ENSP00000262300	0	0	0	0	0.481	0	0	0.264	0.601
CDCA5	GINS1	9606.ENSP00000275517	9606.ENSP00000262460	0	0	0	0	0.353	0	0	0.186	0.451
CDCA5	SGO1	9606.ENSP00000275517	9606.ENSP00000263753	0	0	0	0	0.558	0.292	0	0.800	0.932
CDCA5	POLQ	9606.ENSP00000275517	9606.ENSP00000264233	0	0	0	0	0.413	0	0	0	0.412
CDCA5	DEPDC1B	9606.ENSP00000275517	9606.ENSP00000265036	0	0	0	0	0.534	0	0	0.092	0.559
CDCA5	ANLN	9606.ENSP00000275517	9606.ENSP00000265748	0	0	0	0	0.518	0	0	0.348	0.672
CDCA5	TICRR	9606.ENSP00000275517	9606.ENSP00000268138	0	0	0	0	0.452	0	0	0.129	0.503
CDCA5	NUF2	9606.ENSP00000275517	9606.ENSP00000271452	0	0	0	0	0.786	0	0	0.693	0.931
CDCA5	STIL	9606.ENSP00000275517	9606.ENSP00000360944	0	0	0	0	0.339	0	0	0.136	0.404
CDCA5	SAPCD2	9606.ENSP00000275517	9606.ENSP00000386348	0	0	0	0	0.462	0	0	0	0.462
CDCA5	RMI2	9606.ENSP00000275517	9606.ENSP00000310356	0	0	0	0	0.439	0	0	0.106	0.477
CDCA5	TEDC2	9606.ENSP00000275517	9606.ENSP00000355022	0	0	0	0	0.370	0	0	0.230	0.494
CDCA5	DEPDC1	9606.ENSP00000275517	9606.ENSP00000412292	0	0	0	0	0.411	0	0	0.185	0.500
CDCA5	GTSE1	9606.ENSP00000275517	9606.ENSP00000415430	0	0	0	0	0.402	0	0	0.205	0.504
CDCA5	RECQL4	9606.ENSP00000275517	9606.ENSP00000482313	0	0	0	0	0.432	0	0	0.199	0.526
CDCA5	KIF18B	9606.ENSP00000275517	9606.ENSP00000465992	0	0	0	0	0.291	0	0	0.447	0.591
CDCA5	RAD54L	9606.ENSP00000275517	9606.ENSP00000361043	0	0	0	0	0.508	0	0	0.264	0.622
CDCA5	MKI67	9606.ENSP00000275517	9606.ENSP00000357643	0	0	0	0	0.497	0	0	0.303	0.635
CDCA5	FOXM1	9606.ENSP00000275517	9606.ENSP00000342307	0	0	0	0	0.539	0	0	0.271	0.650
CDCA5	ERCC6L	9606.ENSP00000275517	9606.ENSP00000334675	0	0	0	0	0.351	0	0	0.486	0.652
CDCA5	SKA3	9606.ENSP00000275517	9606.ENSP00000319417	0	0	0	0	0.545	0	0	0.270	0.653
CDCA5	KIF15	9606.ENSP00000275517	9606.ENSP00000324020	0	0	0	0	0.510	0	0	0.323	0.654
CDCA5	EXO1	9606.ENSP00000275517	9606.ENSP00000355506	0	0	0	0	0.564	0	0	0.258	0.663
CDCA5	RRM2	9606.ENSP00000275517	9606.ENSP00000353770	0	0	0	0	0.516	0	0	0.375	0.684
CDCA5	NEK2	9606.ENSP00000275517	9606.ENSP00000355966	0	0	0	0	0.518	0	0	0.447	0.722
CDCA5	KIF14	9606.ENSP00000275517	9606.ENSP00000356319	0	0	0	0	0.451	0.292	0	0.357	0.728
CDCA5	TTK	9606.ENSP00000275517	9606.ENSP00000358813	0	0	0	0	0.622	0	0	0.325	0.734
CDCA5	PBK	9606.ENSP00000275517	9606.ENSP00000428489	0	0	0	0	0.644	0	0	0.289	0.736
CDCA5	CDC25C	9606.ENSP00000275517	9606.ENSP00000321656	0	0	0	0	0.442	0	0	0.553	0.739
CDCA5	ASPM	9606.ENSP00000275517	9606.ENSP00000356379	0	0	0	0	0.583	0	0	0.418	0.746
CDCA5	UHRF1	9606.ENSP00000275517	9606.ENSP00000479617	0	0	0	0	0.646	0	0	0.356	0.762
CDCA5	CHEK1	9606.ENSP00000275517	9606.ENSP00000391090	0	0	0	0	0.565	0	0	0.486	0.767
CDCA5	MCM10	9606.ENSP00000275517	9606.ENSP00000418268	0	0	0	0	0.514	0	0	0.575	0.785
CDCA5	SPAG5	9606.ENSP00000275517	9606.ENSP00000323300	0	0	0	0	0.633	0	0	0.447	0.788
CDCA5	UBE2T	9606.ENSP00000275517	9606.ENSP00000494957	0	0	0	0	0.773	0	0	0.256	0.823
CDCA5	HMMR	9606.ENSP00000275517	9606.ENSP00000377492	0	0	0	0	0.779	0	0	0.269	0.831
CDCA5	UBE2C	9606.ENSP00000275517	9606.ENSP00000348838	0	0	0	0	0.696	0	0	0.480	0.835
CDCA5	CKAP2L	9606.ENSP00000275517	9606.ENSP00000305204	0	0	0	0	0.777	0	0	0.348	0.848
CDCA5	BUB1B	9606.ENSP00000275517	9606.ENSP00000287598	0	0	0	0	0.585	0	0	0.657	0.851
CDCA5	CENPA	9606.ENSP00000275517	9606.ENSP00000336868	0	0	0	0	0.760	0	0	0.424	0.856
CDCA5	CENPF	9606.ENSP00000275517	9606.ENSP00000355922	0	0	0	0	0.540	0.162	0	0.660	0.857
CDCA5	HJURP	9606.ENSP00000275517	9606.ENSP00000414109	0	0	0	0	0.783	0	0	0.388	0.861
CDCA5	CCNA2	9606.ENSP00000275517	9606.ENSP00000481380	0	0	0	0	0.782	0	0	0.398	0.863
CDCA5	CDCA2	9606.ENSP00000275517	9606.ENSP00000328228	0	0	0	0	0.689	0	0	0.591	0.867
CDCA5	CEP55	9606.ENSP00000275517	9606.ENSP00000360540	0	0	0	0	0.785	0	0	0.433	0.873
CDCA5	MELK	9606.ENSP00000275517	9606.ENSP00000298048	0	0	0	0	0.787	0	0	0.437	0.875
CDCA5	KIF20A	9606.ENSP00000275517	9606.ENSP00000378356	0	0	0	0	0.782	0	0	0.474	0.880
CDCA5	TPX2	9606.ENSP00000275517	9606.ENSP00000300403	0	0	0	0	0.785	0	0	0.478	0.883
CDCA5	KIF4A	9606.ENSP00000275517	9606.ENSP00000363524	0	0	0	0	0.781	0	0	0.506	0.887
CDCA5	KIF2C	9606.ENSP00000275517	9606.ENSP00000361298	0	0	0	0	0.792	0	0	0.507	0.893
CDCA5	PLK1	9606.ENSP00000275517	9606.ENSP00000300093	0	0	0	0	0.454	0.292	0.500	0.511	0.893
CDCA5	CDCA3	9606.ENSP00000275517	9606.ENSP00000442068	0	0	0	0	0.759	0	0	0.580	0.894
CDCA5	ZWINT	9606.ENSP00000275517	9606.ENSP00000363055	0	0	0	0	0.775	0	0	0.612	0.908
CDCA5	TOP2A	9606.ENSP00000275517	9606.ENSP00000411532	0	0	0	0	0.781	0	0	0.638	0.917
CDCA5	CDC45	9606.ENSP00000275517	9606.ENSP00000405726	0	0	0	0	0.813	0	0	0.678	0.937
CDCA5	CDC20	9606.ENSP00000275517	9606.ENSP00000361540	0	0	0	0	0.789	0	0	0.722	0.938
CDCA5	BIRC5	9606.ENSP00000275517	9606.ENSP00000301633	0	0	0	0	0.779	0	0	0.750	0.942
CDCA5	CDCA8	9606.ENSP00000275517	9606.ENSP00000362146	0	0	0	0	0.805	0	0	0.810	0.961
CDCA5	AURKB	9606.ENSP00000275517	9606.ENSP00000313950	0	0	0	0	0.672	0	0	0.907	0.968
CDCA5	CCNB2	9606.ENSP00000275517	9606.ENSP00000288207	0	0	0	0	0.786	0	0.400	0.782	0.969
CDCA8	CDC6	9606.ENSP00000362146	9606.ENSP00000209728	0	0	0	0	0.560	0	0	0.607	0.819
CDCA8	FMO2	9606.ENSP00000362146	9606.ENSP00000209929	0	0	0	0	0.074	0.312	0	0.150	0.411
CDCA8	MYBL2	9606.ENSP00000362146	9606.ENSP00000217026	0	0	0	0	0.534	0	0	0.348	0.683
CDCA8	EEF1A2	9606.ENSP00000362146	9606.ENSP00000217182	0	0	0	0	0.265	0	0	0.279	0.447
CDCA8	ORC6	9606.ENSP00000362146	9606.ENSP00000219097	0	0	0	0	0.249	0	0	0.380	0.514
CDCA8	NCAPH	9606.ENSP00000362146	9606.ENSP00000240423	0	0	0	0	0.842	0	0	0.446	0.908
CDCA8	DLGAP5	9606.ENSP00000362146	9606.ENSP00000247191	0	0	0	0	0.906	0	0	0.604	0.961
CDCA8	E2F8	9606.ENSP00000362146	9606.ENSP00000250024	0	0	0	0	0.706	0	0	0.247	0.769
CDCA8	NCAPG	9606.ENSP00000362146	9606.ENSP00000251496	0	0	0	0	0.669	0	0	0.510	0.830
CDCA8	GINS2	9606.ENSP00000362146	9606.ENSP00000253462	0	0	0	0	0.510	0	0	0.368	0.677
CDCA8	CCNB1	9606.ENSP00000362146	9606.ENSP00000256442	0	0	0	0	0.843	0	0.400	0.878	0.987
CDCA8	TROAP	9606.ENSP00000362146	9606.ENSP00000257909	0	0	0	0	0.755	0	0	0.194	0.794
CDCA8	ESPL1	9606.ENSP00000362146	9606.ENSP00000257934	0	0	0	0	0.838	0	0.500	0.687	0.972
CDCA8	KIF11	9606.ENSP00000362146	9606.ENSP00000260731	0	0	0	0	0.872	0	0	0.734	0.964
CDCA8	NDC80	9606.ENSP00000362146	9606.ENSP00000261597	0	0	0	0	0.800	0	0	0.554	0.907
CDCA8	PKMYT1	9606.ENSP00000362146	9606.ENSP00000262300	0	0	0	0	0.348	0	0	0.240	0.484
CDCA8	GINS1	9606.ENSP00000362146	9606.ENSP00000262460	0	0	0	0	0.313	0	0	0.219	0.441
CDCA8	SGO1	9606.ENSP00000362146	9606.ENSP00000263753	0	0	0	0	0.859	0.294	0	0.966	0.996
CDCA8	NEIL3	9606.ENSP00000362146	9606.ENSP00000264596	0	0	0	0	0.522	0	0	0.314	0.658
CDCA8	DEPDC1B	9606.ENSP00000362146	9606.ENSP00000265036	0	0	0	0	0.529	0	0	0.137	0.576
CDCA8	ANLN	9606.ENSP00000362146	9606.ENSP00000265748	0	0	0	0	0.479	0.292	0	0.475	0.789
CDCA8	TICRR	9606.ENSP00000362146	9606.ENSP00000268138	0	0	0	0	0.454	0.045	0	0.190	0.541
CDCA8	NUF2	9606.ENSP00000362146	9606.ENSP00000271452	0	0	0	0	0.795	0	0	0.655	0.926
CDCA8	CDCA5	9606.ENSP00000362146	9606.ENSP00000275517	0	0	0	0	0.805	0	0	0.810	0.961
CDCA8	BUB1B	9606.ENSP00000362146	9606.ENSP00000287598	0	0	0	0	0.921	0	0.500	0.862	0.994
CDCA8	CCNB2	9606.ENSP00000362146	9606.ENSP00000288207	0	0	0	0	0.754	0	0.400	0.838	0.974
CDCA8	MELK	9606.ENSP00000362146	9606.ENSP00000298048	0	0	0	0	0.731	0.064	0	0.643	0.902
CDCA8	PLK1	9606.ENSP00000362146	9606.ENSP00000300093	0	0	0	0	0.645	0	0.500	0.866	0.974
